trade_date,open,high,low,close,vol,amount,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,ATR_14
2025-10-30,1421.81,1436.63,1421.81,1426.74,47456.1,6768821.311,49.078783768509105,-6.53052920474056,-4.164212993196028,-2.3663162115445324,1480.1327841548828,1447.934,1415.7352158451172,18.70746040230046
2025-10-31,1422.0,1435.98,1420.11,1430.01,35693.77,5109623.861,53.19048462310371,-7.351187017220354,-4.8016077980008935,-2.549579219219461,1480.450289268655,1447.4845,1414.518710731345,18.329132348660416
2025-11-03,1431.0,1448.0,1420.1,1435.0,34547.66,4945310.83,44.38210127647637,-7.512315650733399,-5.343749368547395,-2.1685662821860037,1480.450289268655,1447.4845,1414.518710731345,19.605248035505706
2025-11-04,1435.1,1435.78,1423.78,1429.0,26565.72,3793892.903,38.008720930232556,-8.031578076981532,-5.8813151102342225,-2.1502629667473094,1479.2130601296492,1445.8915000000002,1412.5699398703512,18.591214964104946
2025-11-05,1425.89,1430.99,1420.01,1420.08,34475.27,4908475.373,23.776393495671783,-9.058446609489692,-6.5167414100853165,-2.541705199404376,1479.9636493479006,1444.6960000000001,1409.4283506520997,17.57638630222429
2025-11-06,1430.0,1441.45,1429.99,1435.13,38347.82,5505960.415,40.864367816092006,-8.559173276161346,-6.925227783300523,-1.633945492860823,1479.9667336196926,1444.6135,1409.2602663803073,18.082201461927735
2025-11-07,1435.11,1439.78,1431.11,1433.33,18861.39,2704995.856,38.57089760267603,-8.2140540175576,-7.1829930301519385,-1.0310609874056622,1479.873863311203,1444.78,1409.686136688797,16.827241267004048
2025-11-10,1435.0,1463.69,1434.98,1462.3,49451.54,7181246.441,50.015121729925895,-5.53905683184189,-6.854205790489929,1.315148958648039,1480.6824674293473,1446.935,1413.1875325706526,18.631609098070193
2025-11-11,1462.0,1462.18,1447.0,1458.99,26691.56,3882776.772,50.10984016362395,-3.644183745234386,-6.21220138143882,2.5680176362044342,1481.4700513474174,1447.3335000000002,1413.196948652583,18.187394551660827
2025-11-12,1459.98,1478.36,1459.21,1465.15,32992.1,4849073.051,48.902164636511785,-1.626671398231565,-5.29509538479737,3.668423986565805,1481.9401080932607,1447.491,1413.0418919067392,18.345075278106037
2025-11-13,1462.12,1473.58,1458.0,1470.38,31179.23,4569178.269,58.773893576717775,0.3897462115085091,-4.158127065536195,4.547873277044704,1478.3879047070088,1446.7644999999998,1415.1410952929907,17.976398574358555
2025-11-14,1470.0,1478.95,1456.3,1456.6,27473.06,4031007.106,56.72733316712364,0.8658597665867092,-3.153329699111614,4.019189465698323,1478.5635770921706,1446.8445,1415.1254229078293,18.59954543111076
2025-11-17,1454.0,1473.0,1445.79,1471.0,34462.21,5035780.027,59.98924235438752,2.3777338081256403,-2.047116997664163,4.424850805789804,1480.6833896831297,1447.498,1414.3126103168704,19.747606040295995
2025-11-18,1470.7,1486.07,1469.0,1476.0,34204.78,5055675.474,68.06784660766945,3.934014224623297,-0.8508907532066712,4.784904977829968,1483.1768513822576,1448.185,1413.1931486177423,19.390591901589854
2025-11-19,1474.0,1479.53,1469.96,1471.01,22045.37,3249449.214,68.1627964224172,4.710427494248279,0.26137289628431887,4.44905459796396,1484.983891057516,1448.8004999999998,1412.6171089424836,18.081179648044532
2025-11-20,1472.0,1479.9,1465.03,1467.11,24002.32,3531653.943,65.142857142857,4.953937292453247,1.1998857755181047,3.7540515169351423,1484.8452725374455,1448.757,1412.6687274625547,17.653022361638612
2025-11-21,1470.5,1480.0,1456.0,1466.6,42607.2,6259873.433,63.38756143026592,5.0475824358620685,1.9694251075868976,3.0781573282751706,1486.548646750739,1449.587,1412.625353249261,18.499286046753465
2025-11-24,1467.0,1471.0,1451.13,1452.0,33607.44,4901903.705,59.082293476543924,3.8987564663291323,2.3552913793353447,1.5434650869937876,1486.8849584443083,1450.1664999999998,1413.4480415556914,18.682047907186323
2025-11-25,1458.0,1458.0,1444.5,1444.65,28440.69,4119930.011,59.82407037185128,2.367924080326702,2.357817919533616,0.010106160793085905,1486.878158300644,1450.149,1413.4198416993559,17.991108186228146
2025-11-26,1448.88,1453.49,1443.58,1449.15,20306.16,2938818.095,56.122270742358054,1.5005434465033431,2.186363024927562,-0.6858195784242187,1486.7326170185468,1451.0115,1415.2903829814534,16.913627094731073
2025-11-27,1449.5,1450.0,1439.04,1447.3,22286.89,3216797.187,56.09777389786119,0.6562931670521266,1.880349053352475,-1.2240558863003483,1485.9574359321114,1452.0395,1418.1215640678888,16.119810148766934
2025-11-28,1446.5,1455.5,1443.0,1450.5,23211.21,3366696.622,43.354359089885165,0.24263504876898878,1.5528062524357777,-1.310171203666789,1485.3802155157937,1453.0639999999999,1420.747784484206,15.63716879559801
2025-12-01,1451.0,1462.27,1442.0,1448.0,27333.42,3961994.999,43.75355234739118,-0.2836513407548864,1.185514733797645,-1.4691660745525315,1485.0071486700247,1453.714,1422.4208513299752,16.254879622851607
2025-12-02,1448.0,1451.92,1435.02,1436.03,25047.26,3607543.825,34.47430155683516,-1.6476232830796107,0.6188871304221939,-2.2665104135018046,1484.3308579804414,1454.0655,1423.8001420195585,16.34089567313807
2025-12-03,1435.81,1435.97,1428.0,1429.1,23572.79,3370080.066,28.382907415165477,-3.2503064483416892,-0.15495158533058273,-3.0953548630111065,1482.857117885031,1454.5165000000002,1426.1758821149695,15.232776250052993
2025-12-04,1429.1,1432.5,1418.38,1423.98,29075.39,4134921.902,31.21400598940346,-4.8773624160160125,-1.0994337514676689,-3.7779286645483436,1484.2751613317848,1453.959,1423.6428386682153,15.084406083379246
2025-12-05,1423.98,1433.09,1419.5,1430.01,25401.66,3622681.597,23.87507966857872,-5.615513246347746,-2.0026496504436846,-3.612863595904061,1484.616875298559,1453.7930000000001,1422.9691247014412,14.885151938928669
2025-12-08,1429.2,1436.67,1418.0,1418.22,33602.8,4789155.77,16.10746128578134,-7.0703549140282576,-3.0161907031605995,-4.054164210867658,1485.9522165028409,1451.589,1417.225783497159,15.389798347071522
2025-12-09,1418.23,1421.0,1400.05,1401.01,42634.43,5995722.121,14.087830904986674,-9.50249177715068,-4.313450917958616,-5.1890408591920645,1489.5860736759087,1448.69,1407.7939263240914,16.13115856746199
2025-12-10,1400.0,1402.8,1383.18,1402.8,33133.47,4625906.139,16.276874672260092,-11.156929584131149,-5.682146651193123,-5.474782932938026,1490.4932638661217,1445.5724999999998,1400.6517361338779,16.59633742513371
